key=the   value=22687
key=poorest,   value=1
key=deadliest,   value=1
key=dog.)_   value=1
key=settled.   value=1
key=work-people,   value=1
key=miserably-waged   value=1
key='79._--i   value=1
key=chiffonier-bags   value=1
key=concern'd,)   value=1
key=dangers.   value=1
key=heart-felt   value=2
key=en-masse   value=1
key=declares,   value=1
key=god;   value=1
key=trust,   value=1
key=form?   value=1
key=trickeries   value=1
key=tended,   value=1
key=ensue   value=2
key=exist,)   value=1
key=officially,   value=1
key=candidacy   value=1
key=manipulation   value=1
key=ins,   value=1
key=presidents,   value=2
key=doors.   value=1
key=groggery   value=1
key=localities--even   value=1
key=exports--so   value=1
key=show--an   value=1
key="protection."   value=1
key=homesteads   value=2
key=workwomen--_that_   value=1
key=attain'd   value=2
key="friendship   value=2
key=compulsion   value=1
key=bonaparte,   value=1
key=one--not   value=1
key=why?   value=1
key=embraces   value=1
key=rarely,   value=1
key=canticles,   value=1
key=dramas   value=2
key=hugo's   value=1
key=routes   value=1
key=(estimating   value=1
key=glowing,   value=3
key=loyalty,   value=3
key=coincidence,   value=1
key=poor?   value=1
key=school'd   value=1
key=ago--and   value=1
key=same;   value=1
key=derision,   value=1
key=legislative,   value=1
key=healthy-bodied,   value=1
key=candidate   value=1
key=hand--really   value=1
key=mementos--cathedrals   value=1
key=divinities,   value=1
key=away--and   value=1
key=those,)   value=1
key=missions--art,   value=1
key=far-off--from   value=1
key=humanity--the   value=1
key=story-telling   value=1
key=comment--and   value=1
key=dons   value=1
key=story:   value=1
key=rap   value=1
key=abraham!   value=1
key=constellations,   value=1
key=law_.   value=1
key=impossible.   value=3
key=habiliments   value=1
key=one's-self   value=1
key=freedom,)   value=1
key=great--unspeakably   value=1
key=constraint.   value=1
key=primal,   value=1
key=amenable   value=1
key=ownership,   value=1
key=five-dollar-a-day   value=1
key=surgeon's   value=2
key=consideration,   value=2
key=others--what   value=1
key=imposition,   value=1
key=brotherhoods   value=1
key=construction-stamp,   value=1
key=collective.   value=1
key=published,   value=1
key=compactions   value=1
key=dough;   value=1
key=dictionary_   value=1
key=list;   value=1
key="abolition   value=1
key=dough-faced   value=1
key="northern   value=1
key="reg'lar   value=1
key=abyss   value=2
key=principle--freedom!--fiddlesticks   value=1
key="practical   value=1
key=dough-faces--   value=1
key=pacify   value=1
key=salvation;   value=1
key=daw   value=1
key=cooper,   value=4
key=front;   value=1
key=paumanok   value=2
key=teacher's   value=1
key=spoke.   value=2
key=tim   value=11
key=good-humor'd   value=1
key=within.   value=2
key=brutality,   value=1
key=crush'   value=1
key=(happily   value=1
key=school-masters,   value=1
key=scorn'd   value=2
key=day!)   value=1
key=punish'd,   value=1
key=fright,   value=1
key=grasp'd   value=3
key=paled   value=2
key=features;   value=2
key=and--and--but   value=1
key=clear'd.   value=1
key=rain-drops   value=1
key=criminal,   value=1
key=mouth.   value=1
key=lugare;   value=1
key=some--some   value=1
key=bulged   value=1
key=postpone   value=1
key=tremblingly   value=1
key=violence   value=2
key=narrowest   value=1
key=tim,   value=3
key=mysterious   value=2
key=impending   value=2
key=repining,   value=1
key=jones,   value=3
key=vegetables,   value=1
key=neighbors   value=5
key="charity"   value=1
key=unlucky   value=2
key=inflexibly   value=1
key=sternness,   value=1
key=dismission.   value=1
key=sympathy.   value=2
key=sullenness.   value=1
key="we'll   value=1
key=whiten'd   value=1
key=histrionic   value=1
key=catastrophe   value=1
key=slumberer   value=3
key=flogging,   value=1
key=delights,   value=1
key=torture   value=1
key=transfix'd   value=1
key=globules   value=1
key=cheek,   value=2
key=school-room,   value=1
key=brokers   value=1
key=profession.   value=1
key=marriage.   value=1
key=clients   value=2
key=disguising   value=1
key=extend   value=1
key=plain,   value=3
key=value;   value=1
key=esther,   value=2
key=luxuries,   value=3
key=brother's   value=5
key=mentioning   value=3
key=self-control   value=1
key=agreeably,   value=1
key=sternly,   value=2
key=honor.   value=2
key=whitehall,   value=1
key=produces   value=2
key=sort;   value=1
key=also--and   value=1
key=tasted,   value=1
key=habitually   value=1
key=cataract;   value=1
key=chatham   value=1
key=this,"   value=1
key=commonplace   value=2
key=moralist.)   value=1
key=vindictive   value=1
key=imaginations)   value=1
key=intent   value=2
key=quickness   value=1
key=father--robber   value=1
key=gentleman,"   value=1
key=either--that   value=1
key=clutch'd   value=1
key=fiendish   value=1
key=imprecations,   value=1
key=lull   value=2
key=exasperating   value=1
key=_above_!   value=1
key=jehovah's   value=1
key=noonday.   value=1
key="spare   value=1
key=terror-stricken   value=1
key=reade   value=1
key=rigorous   value=1
key=discharged.   value=1
key=counsel   value=2
key=cowering   value=1
key=_last_   value=1
key=sister's   value=2
key=thankfully   value=1
key=clamor   value=1
key=elapsed   value=3
key=frightful   value=1
key=exclamation   value=2
key=dead--the   value=1
key=asleep   value=1
key=farm--work   value=1
key=trickling   value=2
key=ah!   value=3
key=fragrance   value=2
key=beauty!   value=1
key=intoxicating   value=1
key=subsided.   value=1
key=goodness.   value=1
key=gentleness.   value=1
key=murderous,   value=1
key=fragiant.   value=1
key=murderer_   value=1
key=unpunish'd   value=1
key=tread_."]   value=1
key=transcribe.   value=1
key=life-like   value=1
key=tract   value=2
key=guardianship   value=1
key=claps'd   value=2
key=convulsion   value=1
key=divided;   value=2
key=heir,   value=1
key=sentiments   value=1
key=inroads,   value=1
key=remnant   value=1
key=vanhome   value=5
key=mutter'd   value=1
key=knocking,   value=1
key=confiscated   value=1
key=hostess.   value=1
key=taciturn,   value=1
key=so)   value=4
key=remuneration,   value=1
key=guest,   value=2
key=foster   value=1
key=residents   value=1
key=ended,   value=1
key=narrator   value=1
key=disliked   value=1
key=whippings   value=1
key=strove   value=1
key=toil,   value=3
key=entreaty.   value=1
key=proceeding,   value=1
key=late--the   value=1
key=swallow'd   value=1
key=retiring   value=1
key=hours;   value=1
key=insidious   value=1
key=relax'd   value=1
key=shock.   value=1
key=listen'd,   value=1
key=white!"   value=1
key=grave-clothes   value=1
key=bosom;   value=2
key=fingers,   value=1
key=terribly.   value=3
key=embarkation   value=1
key=imprudence   value=1
key=heaving   value=1
key=moment--a   value=1
key=whip.   value=1
key=gunwale--and   value=1
key=wayfarer,   value=1
key=cigar,   value=1
key=puff'd   value=2
key=six-pence   value=1
key=unless,"   value=1
key=messenger--a   value=1
key=intemperate   value=1
key=reward   value=2
key=inn.   value=1
key=tenet   value=1
key=instances,   value=1
key=mischief.   value=1
key=nell,   value=5
key=unjust;   value=1
key=overflowing   value=1
key=parental   value=1
key=wearier   value=1
key=tuesday   value=6
key=apparel.   value=1
key=frank,"   value=1
key=nell--she's   value=1
key=richard;   value=1
key=neigh'd   value=1
key=farewell,   value=1
key=follies,   value=2
key=forbearance,   value=1
key=place!   value=1
key=strapped   value=1
key=graze   value=1
key=hazy   value=1
key=unnoticed;   value=1
key=prolong'd   value=1
key=cropp'd   value=1
key=leader's   value=1
key=arous'd.   value=1
key=mane   value=1
key=flash'd,   value=1
key=peal--a   value=1
key=spirits!   value=1
key=away--swift   value=1
key=storm;   value=1
key=arranged   value=2
key=provident   value=1
key=leaf-tips--coolness   value=1
key=crouch'd   value=1
key=hideous   value=2
key=dabbled   value=1
key=deathly   value=1
key=thyself   value=2
key=liken'd   value=1
key=limbs.   value=1
key=glimmer   value=1
key=thus?   value=1
key=wreck   value=3
key=_reality_--a   value=1
key=fragile   value=1
key=betimes.   value=1
key=laugh--light   value=1
key=long'd-for,   value=1
key=conquer;   value=1
key=graven   value=2
key=hate,   value=1
key=wanders   value=1
key=words!   value=2
key=afternoon--including   value=1
key=boisterous,   value=1
key=afternoons,   value=2
key=commendation.   value=1
key=tankards   value=2
key=margery   value=3
key=strays   value=1
key=beheld.   value=1
key=politeness--but   value=1
key=imputation   value=1
key=disembarrass'd,   value=1
key=discordant,   value=1
key=ninon.   value=2
key=comfort.   value=1
key=journey's   value=1
key=emporium.   value=1
key=occurrences;   value=1
key=deliberation,   value=1
key=germans   value=1
key=decently   value=1
key=transcript   value=1
key=margery;   value=1
key=widow.   value=1
key=attendant's   value=1
key=assigned   value=2
key=behest,   value=1
key=clumps,   value=1
key=sods   value=1
key=resting-place   value=1
key=mound.   value=1
key=forehead,   value=3
key=sickening   value=3
key=scalding   value=1
key=affirm,   value=1
key=torture,   value=1
key=rankling   value=1
key=door-step   value=2
key=clustered   value=1
key=beets   value=1
key=charley,"   value=1
key=twinge   value=1
key=taskmaster   value=1
key=day,"   value=2
key=blisters   value=1
key=bondage.   value=1
key=there."   value=1
key=endeavoring   value=1
key=troubles--with   value=1
key=master's   value=1
key=man--struggling   value=1
key=grudged   value=1
key=employer's,   value=1
key=dave--he   value=1
key=flourishes   value=1
key=attire.   value=1
key=sanded   value=1
key=youthful.   value=1
key=pave   value=2
key=decanters   value=2
key=sailors--and   value=1
key=dry;"   value=1
key=goodly   value=1
key="treat;"   value=1
key=skulker   value=1
key="hallo,   value=1
key=continued.   value=1
key=obliged   value=1
key=down--it   value=1
key=irritated   value=1
key=liquor,   value=2
key=antipathy   value=1
key=times--to   value=1
key=harshly   value=1
key=boot   value=1
key=pistols   value=1
key=propelling   value=1
key=boy--two   value=1
key=sensations   value=1
key=ungraceful   value=1
key=rock;   value=1
key=youth;   value=1
key=forth--he   value=1
key=deed,   value=2
key=story--how   value=1
key=hard-hearted   value=1
key=inn--and   value=1
key=steadier   value=1
key=wrong--the   value=1
key=langton--parentless--a   value=1
key=blacklegs,   value=1
key=langton   value=2
key=capacity--for   value=1
key=tempted--which   value=1
key=spree;   value=1
key=ellis,   value=2
key=disburse   value=1
key=time--how   value=1
key=drowsily   value=1
key=woes.   value=1
key=soliloquy.   value=1
key=desire?   value=1
key=curse   value=2
key=glitter   value=2
key=rougher   value=2
key=tantalized   value=1
key=propensities,   value=2
key=squeeze,   value=1
key=longings   value=1
key=(thus   value=2
key=glance--let   value=1
key=possessions,   value=1
key=fellow-ship   value=1
key=deference   value=1
key=approximate   value=1
key=lingave   value=4
key=pet   value=1
key=abstracting   value=1
key=nail   value=1
key=turnings   value=1
key=along--up   value=1
key=thoroughfares   value=1
key=bestow'd   value=3
key=lingave!"   value=1
key=unmeaningly,   value=1
key=_money-maker_.   value=1
key=various;   value=1
key=ingenuity   value=1
key=lingave--a   value=1
key=remuneration   value=1
key=sophistry   value=1
key=inculcate   value=1
key=poesy   value=3
key=ignorantly   value=1
key=putrefy,   value=1
key=spoken--a   value=1
key=beware   value=2
key=exertion   value=1
key="while   value=1
key=forego   value=1
key=despatch'd   value=1
key=click!   value=1
key=impure   value=1
key=uproar.   value=1
key=mike.   value=1
key=capacity--there   value=1
key=revellers.   value=1
key=person,"   value=1
key=uneven   value=1
key=hurriedly,   value=1
key=alarm'd   value=2
key=physician.   value=1
key=_dead_?"   value=1
key=ashiness   value=1
key=deepens   value=1
key="o!   value=1
key=infants,   value=1
key=nought   value=1
key=uneasily   value=1
key=enjoin'd   value=1
key=solemnity   value=1
key=death-damps,   value=1
key=courses,   value=1
key=conveyance--the   value=1
key=buttonwood   value=1
key=vine   value=2
key=land-lord's   value=1
key=like-color'd   value=1
key=softness--her   value=1
key=inoffensive   value=1
key=unfathomable   value=1
key=kate.   value=3
key=neighborhood.   value=1
key=confiding   value=1
key=hue.   value=1
key=gravel.   value=1
key=inquisitiveness.   value=1
key=rambling   value=3
key=palace,   value=2
key=vacant,   value=1
key=artistical   value=1
key=captivity,   value=1
key=sculptor,   value=1
key=kindle   value=1
key=devotion,   value=1
key=jesus,   value=1
key=frown'd   value=1
key=pouch   value=1
key=deliverer   value=1
key=bear'st   value=1
key=surround   value=1
key=talons   value=1
key=bruised,   value=1
key=image:   value=1
key=1843_   value=1
key=6._   value=1
key=slaves;   value=1
key=lice   value=1
key=crime   value=2
key=dollar   value=2
key=shroud;   value=1
key=lip;   value=1
key=poltroon   value=1
key=starless,   value=1
key=rise;   value=1
key=forked   value=1
key=rim   value=1
key=beguiled   value=1
key=reef,   value=1
key=_past,   value=1
key=widest,   value=1
key=comic.   value=1
key=complacent,   value=1
key=spencer,   value=1
key=poets--and   value=1
key=time"--some   value=1
key=war)   value=2
key=investigation--is   value=1
key=survey'd   value=1
key=paraded   value=2
key=amusing)--and   value=1
key="--and   value=1
key=luncheons   value=1
key=clew   value=1
key=intuition--those   value=1
key=gentries   value=1
key=design   value=1
key=apt,   value=1
key=list,"   value=1
key=curtis   value=1
key=honor'd   value=2
key=representation,   value=1
key=the,   value=1
key=functions   value=2
key=unmov'd   value=1
key=educators.   value=1
key=past--not   value=1
key=sense,)-some   value=1
key="finds   value=1
key=formation-stir   value=1
key=teachers.   value=1
key=tragedies,   value=1
key=vividest,   value=1
key=trip-hammers,   value=1
key=dross   value=1
key=fitted,   value=1
key=starting-point,   value=1
key=solvents   value=1
key=intercommunion   value=1
key=world--could   value=1
key=explorative   value=1
key=castelar,   value=1
key=asia--the   value=1
key=ignored.)   value=1
key=suggestion,   value=2
key=psychological   value=1
key=poets"   value=1
key=religion;   value=1
key=reveal'd,   value=1
key=allusions,   value=1
key=ritual,   value=1
key=meagre.   value=1
key=metaphors   value=1
key=sensuousness   value=1
key=dew-scented   value=1
key=hair-splitting   value=1
key="thanatopsis,"   value=1
key=galaxies   value=1
key=starlike,)   value=1
key="mahabharata"--the   value=1
key=garb   value=1
key=noose   value=1
key=enthusiastically   value=2
key=_nobleman_   value=1
key=man_,   value=1
key=juvenile--in   value=1
key=cads,   value=1
key=only--the   value=1
key=dreads,   value=1
key=book!   value=1
key=singer--till   value=1
key=languages,   value=2
key=brings.   value=1
key=projecting   value=1
key=essentials,   value=1
key=structure.   value=3
key=orator--one   value=1
key=low--nor   value=1
key=wharves   value=1
key=boston--and   value=1
key=hub,"   value=1
key=forenoons,   value=1
key=timber'd   value=2
key=wood--to   value=1
key=aisles--their   value=1
key=back'   value=2
key=old-style   value=1
key=congregation,   value=1
key=audience,   value=5
key=picturesque.   value=1
key=purist's   value=1
key=discourses,   value=2
key=action,"   value=1
key=tears.   value=2
key=reproach   value=1
key=rhetoric   value=1
key=rhode   value=2
key=hicks--and   value=1
key=fund   value=3
key=practices   value=1
key=everett,   value=1
key=hale,   value=2
key=fames.   value=1
key=unsought,   value=1
key=elocution.   value=1
key=orators--almost   value=1
key=trials,   value=1
key=background--in   value=1
key=333d   value=2
key=press_,   value=1
key=griffin,   value=1
key=fã©   value=1
key=sources.   value=1
key=excess.   value=2
key=different--at   value=1
key=illusion-compound,   value=1
key=true--that   value=1
key=_rã©sumã©_   value=2
key=ethnology,   value=1
key=tribe   value=1
key=entwines   value=1
key=congratulations   value=1
key=_mythus_   value=1
key=suspected--suggesting   value=1
key=reside   value=1
key=puzzles.   value=1
key=earls"   value=1
key=germ-stock   value=1
key=work)   value=1
key=floundering   value=1
key=accident--afterward   value=1
key="king   value=3
key="macbeth,"   value=1
key=plan_.   value=1
key=cade,   value=1
key=allow'd,)   value=1
key=causes   value=2
key=premise   value=1
key=tableau   value=1
key=gloom,--they   value=1
key=herein   value=2
key=defy   value=1
key="othello"   value=1
key=immeasurably   value=1
key=travers'd   value=1
key=completer   value=2
key=deposits,   value=1
key=hold's   value=1
key=poems--the   value=1
key=legends,   value=2
key=chaucer,   value=1
key="culture,"   value=1
key=dragon-rancors   value=1
key=half-gone.   value=1
key=mountain-high   value=1
key=virgilian   value=1
key=reigns   value=4
key=delineation   value=1
key=musk   value=2
key=velvet   value=3
key=mouthing   value=1
key=primeval,   value=1
key=fixings   value=1
key=statue-groups   value=1
key=henchmen--all   value=1
key=(exquisite   value=1
key=non-acceptable   value=1
key=optic   value=1
key=eludes   value=1
key=works--what   value=1
key=diligence   value=1
key=republican--would   value=1
key=alimentive,   value=1
key=how.   value=1
key=consider'd.   value=1
key=goethe,   value=2
key=b,'s   value=1
key=portraiture,   value=1
key=mclehose,   value=1
key=muir,   value=1
key=ainslie,   value=1
key=letter-writer,"   value=1
key=mouthings.   value=1
key=fullest,   value=1
key=thompson   value=1
key=silly."   value=1
key=dialect,   value=2
key=(january,   value=1
key=on--(mostly,   value=1
key=budget.   value=1
key=magnetism,[39]   value=1
key=readers,   value=1
key=taboo'd   value=2
key=too--(no   value=1
key=view-medium   value=1
key=death--we   value=1
key=illicit   value=1
key=attraction,   value=1
key=well-ripen'd   value=1
key=death?   value=1
key=witty,   value=1
key=mid-aged,   value=1
key=_ploughman_   value=1
key=exercise."   value=1
key=1787,   value=1
key=thou'll   value=1
key=scone,   value=1
key=rave   value=1
key=invoking   value=1
key="fintra   value=1
key=generally.)   value=1
key=buzzes   value=1
key=depicting   value=1
key=countenance)   value=1
key=practicalities   value=1
key=occurrences,   value=2
key=lands--down   value=1
key=shopworn,   value=1
key=(be   value=1
key=celebrating   value=2
key=("freedom   value=1
key=beggars   value=1
key=remembrance;   value=1
key=scotch")   value=1
key=iliad   value=2
key=appetites.   value=1
key=homer's,)   value=1
key=credit)   value=1
key=sulks,   value=1
key=shackles   value=1
key=gas   value=1
key=warrant;   value=1
key=personalizations   value=1
key=discreditable   value=1
key=harmonies,   value=1
key=reactionist   value=1
key=weakest,   value=1
key=shakspere--hardly   value=1
key=fragrant,   value=1
key=crowning,   value=1
key=working-classes   value=1
key=patriotic.   value=1
key=died.)   value=2
key=berries.   value=1
key=absent)   value=1
key=copy,"   value=2
key=rawness.   value=1
key=consonance   value=1
key=neglect,   value=1
key=on,"   value=1
key=spice   value=3
key=ane   value=1
key=braw   value=1
key=willie,"   value=1
key=cauld   value=1
key="merry   value=1
key=loof   value=1
key=best)   value=1
key=ayr,"   value=1
key=o'shanter"--all   value=1
key=cantering   value=1
key=kirk-deacons--drilygood-natured   value=1
key=them)--"to   value=1
key=maggie,"   value=1
key=tim'rous   value=1
key=louse,"   value=1
key=sensibility,   value=1
key=steel-flashes   value=1
key=hypochondria,   value=1
key="address   value=1
key=deep-down   value=2
key=masterly   value=1
key=hae,"   value=1
key="rigs   value=1
key="holy   value=1
key=indelicacy   value=1
key=summing-up   value=3
key=flow)--after   value=1
key=contradictory)   value=1
key=statement--was   value=1
key=diction;   value=1
key=loved.   value=1
key=m'kie,   value=1
key=[40]   value=1
key=rosebery,   value=1
key=ploughmen   value=1
key=root,   value=1
key=song-book   value=1
key=morbid,   value=1
key=barr'd   value=1
key=uncle's   value=1
key=brain.)   value=1
key=1886-7,   value=1
key="reviews   value=1
key=weakest   value=1
key=equal-born!   value=1
key=overheated   value=1
key=threats,   value=1
key=tennyson's.   value=1
key=trends   value=1
key=heroic.   value=1
key=verdict,   value=2
key=forget--his   value=1
key=promptings   value=1
key=_ennui_.   value=1
key=iron."   value=1
key=non-democracy,   value=1
key=tartness   value=1
key=others--as   value=1
key=again)   value=1
key=farmer."   value=1
key=king,"   value=1
key="flower   value=1
key="edward   value=1
key=brightest.   value=1
key=haunts,   value=1
key=non-literary   value=1
key=absorbs   value=2
key=gift)   value=1
key=freely,   value=1
key=date;   value=1
key=sentences,   value=1
key=potentate,   value=1
key=ceremonies.   value=1
key=pre-historic   value=1
key=eructation   value=1
key=plainer,   value=1
key=word-formation,   value=1
key=_wrong_   value=1
key=_integrity_   value=1
key=_insult_   value=1
key=_prophesy_   value=1
key=prediction;   value=1
key=intellect.   value=1
key=co-operated,   value=1
key=mirrors   value=1
key=spontaneity   value=1
key=utterance.   value=2
key=dispers'd   value=1
key=mythology   value=1
key=hunt.   value=1
key=serf   value=1
key=groundwork   value=1
key=squarely,   value=1
key=sub-titles   value=1
key=mac"   value=1
key=sherman.)   value=1
key=vermont,   value=1
key=clam   value=1
key=muskrats;   value=1
key=tar   value=1
key=louisiana,   value=2
key=kentucky,   value=1
key=hoosiers;   value=1
key=florida,   value=1
key=hawkeyes;   value=1
key=tyler   value=1
key=(i.   value=1
key=(translation   value=1
key=contemporary,"   value=1
key=whiskey"   value=1
key=waiters   value=1
key=codfish   value=1
key=oregon   value=1
key=shookum-chuck;   value=1
key=labell'   value=1
key=klikatat;   value=1
key=offend   value=2
key=snohomish   value=1
key=establish'   value=1
key=stelicoom   value=1
key=reno:   value=1
key=cornucopia   value=1
key=hoodlums,   value=1
key=(colorado)   value=1
key=tombstone   value=1
key=bazoo_,   value=1
key=ranch,   value=2
key=squitch   value=1
key=cal   value=1
key=oklahoma   value=1
key=rake-pocket   value=1
key=aborigines   value=2
key=stand-and-look-out;   value=1
key=iron-flash;   value=1
key=two-feathers-of-honor;   value=1
key=go-on-the-burning-sod;   value=1
key=spiritual-woman;   value=1
key=wit--the   value=1
key=boatmen!   value=1
key=fossils,   value=1
key=(until   value=1
key=&c.--some   value=2
key=fittest,   value=1
key=sorted   value=1
key=massiveness   value=1
key=exploitation   value=1
key=monoliths   value=1
key=poncas,   value=1
key=apaches   value=1
key=redeems   value=1
key=tires   value=1
key=circlets   value=1
key=claws   value=1
key=commissioner   value=1
key=ornamented   value=1
key=clean.   value=1
key=bilious   value=1
key=indian,   value=2
key=hat.   value=1
key=visitors--a   value=1
key=surmounting.   value=1
key="talk"   value=1
key=here-alluded-to   value=1
key=ideals--something   value=1
key=feathers,   value=1
key=fashions   value=1
key=interpreters,   value=1
key=conversation--though   value=1
key=[letter   value=1
key='will   value=1
key=mingled   value=1
key=well)   value=1
key=thin-hipped,   value=1
key=large-jointed,   value=1
key=one--to   value=1
key=all-important.   value=1
key="pickaninnies,"   value=1
key=1810,   value=1
key=flushing   value=2
key=cute,   value=2
key=cloud-effects,   value=1
key=fleeces,   value=1
key='82,   value=1
key=longer-tail'd   value=1
key=translucent,   value=1
key=stripe,   value=1
key=sunshiny   value=1
key=delightfully   value=1
key=golden-rod,   value=1
key=cooper's   value=1
key=saplings   value=1
key=splendid,   value=2
key=aldebaran,   value=1
key=weeks)   value=1
key=caste-spirit   value=1
key=fore.   value=1
key=decoys,   value=1
key=brokers,   value=1
key=goods'   value=1
key=crests_.   value=1
key=nobility,   value=1
key=people"--were   value=1
key=aback--and   value=1
key=manufactur'd   value=1
key=outcome   value=1
key=railroad--was   value=1
key=so-call'd,   value=2
key=of--the   value=1
key=undergoes   value=1
key=africans   value=1
key=concomitants,   value=1
key=red-tinged   value=1
key=fourteen,   value=1
key=polishing   value=2
key=see-saw   value=1
key=necks,   value=1
key=mars,   value=1
key=usual)   value=1
key=top,   value=1
key=intensity,   value=1
key=vivid.   value=1
key=revelations   value=2
key="chinning"   value=1
key="yankee   value=1
key=rebs,   value=1
key=inspire,   value=1
key=_walking   value=1
key=interspers'd   value=1
key=deserters!   value=1
key=bronz'd   value=1
key=show-windows,   value=1
key=insignia,)   value=1
key=darkeys,   value=1
key=1865_.--about   value=1
key=by--as   value=1
key=home-born.   value=1
key=shenandoah   value=1
key=remarkable.   value=1
key=specimens.   value=1
key=dilapidated   value=2
key=14th;   value=1
key=bellowing,   value=1
key=leaving.   value=1
key=(everywhere   value=1
key=tent,   value=1
key=axe,   value=1
key=headquarters.   value=1
key=t   value=2
key=champions.   value=1
key=eagerness   value=1
key=vicksburg,   value=1
key=behav'd   value=1
key=tip-top!'   value=1
key=case--only   value=1
key=analostan)   value=1
key=mason,   value=1
key=umbrageous,   value=1
key=glimpses,   value=1
key=parasitic   value=1
key=open'd--there   value=1
key=crowd--negroes   value=1
key=proximity.   value=1
key=mustache;   value=1
key=washingtons   value=2
key=1,000   value=1
key=aforesaid,   value=1
key=madison,   value=1
key=half-puzzled   value=1
key=$10.03   value=1
key=computation,   value=1
key=paltry   value=1
key=companies--the   value=1
key=military.   value=1
key=muddy-yellow   value=1
key=wriggles   value=1
key=poems--all   value=1
key=grimes   value=1
key=senator   value=1
key=acknowledgment   value=1
key=humanity_.   value=1
key=masse_--the   value=1
key=worship--the   value=1
key=bryant's,   value=1
key=verteber.   value=1
key=attempts--thankful   value=1
key=siddons   value=2
key=(fleeming   value=1
key=actor?   value=1
key=longing   value=1
key=transitory,   value=1
key=days--for   value=1
key=clarke"--(i   value=1
key=ranger,   value=1
key=(prices,   value=1
key=style;   value=1
key="charles   value=1
key=seguins,   value=1
key=winkle,   value=1
key=mario   value=2
key=inimitable--the   value=1
key=thrill'd   value=1
key=baritone,   value=1
key=marini's   value=1
key=_pere,_   value=1
key=play-acting,   value=1
key=describ'd   value=1
key=partook   value=1
key=dignities.   value=1
key=shylock   value=1
key=(racine's   value=1
key=insanity   value=3
key=observers   value=1
key=differ'd   value=1
key=lago,   value=1
key=now.)   value=2
key=lessee   value=1
key="brutus,   value=1
key=zenith   value=1
key=("count   value=1
key=shapely,   value=1
key=hamblin's   value=1
key=house's   value=1
key=stage--some   value=1
key=nesle,"   value=1
key=millwood   value=1
key=woman,"   value=1
key=lion-doom'd"   value=1
key=roadside   value=1
key=frenchwoman   value=1
key=wishton-wish."   value=1
key=performances--the   value=1
key=robustuous.   value=1
key=mechanics--the   value=1
key=any--bursting   value=1
key=kid-glove   value=1
key=men--(the   value=1
key=recollections   value=2
key=times--fenimore   value=1
key=webb,   value=1
key=morris,   value=1
key=eminences,   value=1
key=programmes   value=1
key=avenue--types   value=1
key=ship-builders,   value=1
key="soap-lock"   value=1
key=chanfrau's   value=1
key=rapport.   value=1
key=hearers;   value=1
key='35.   value=1
key=benefit,   value=1
key=prelude,   value=1
key=footlights   value=1
key=waiting.   value=2
key=suspense.)   value=1
key=garrick-kemble-siddons   value=1
key=idiosyncrasy.   value=1
key=conquer'd.)   value=1
key=vivacity,   value=1
key=disintegrating,   value=1
key=inevitably,   value=1
key=meanings.   value=1
key=vocalization   value=1
key=by"   value=1
key=7)--grander,   value=1
key=gossippy   value=2
key=sombody   value=1
key=america;--in   value=1
key=unavoidable   value=1
key=reason-for-being   value=1
key=goes,   value=4
key=days"_   value=1
key=residence,   value=1
key=stafford.   value=1
key=considerably--journey'd   value=1
key=time.")   value=1
key=vistas"   value=2
key=resultless   value=1
key=_good   value=2
key=around--hardly   value=1
key=some--reminiscences,   value=1
key=dawdle   value=1
key=helpers   value=1
key=nigher   value=1
key=glorying   value=1
key=matters.   value=2
key=appeared,"   value=1
key=(thence)   value=2
key=generalities   value=1
key=literature--a   value=1
key=serried   value=1
key=1888_   value=2
key=individuals_,   value=1
key=authentically,   value=1
key=know--vaster   value=1
key=permeating,   value=1
key=effect--needing   value=1
key=world)   value=1
key=capture,   value=1
key=photographers,   value=1
key=be--any   value=1
key=experiments.   value=1
key=growth--it   value=1
key=acknowledg'd   value=1
key=franklin--of   value=1
key=englishman,   value=2
key=(professor   value=1
key=mystical,   value=1
key=firmness   value=1
key=deepest-rooted,   value=1
key=discuss'd--some   value=1
key=banquet   value=1
key=ulysses'   value=1
key="what!   value=1
key=last!   value=1
key=rail-splitter   value=1
key=states,)   value=1
key=(camden,   value=1
key=_picayune_.   value=1
key=prose)   value=1
key=which:   value=1
key=ways.   value=1
key=journal   value=1
key=_picayune_   value=1
key=results;   value=1
key="model   value=1
key=uniforms   value=1
key=saw;   value=2
key=york.)   value=2
key=hucksters   value=1
key=creole   value=2
key=pounds.)   value=1
key=tumblers,)   value=1
key=louis.   value=1
key=bar-rooms   value=1
key=cotton   value=1
key=arrondissement;   value=1
key=crescent_;   value=1
key=fix'd)   value=1
key=bluff,   value=1
key=jogg'd   value=2
key=afternoon,)   value=1
key=refectory,   value=1
key=naples,   value=1
key=$4   value=1
key=canal-boat,   value=1
key=farmers.   value=1
key=(on   value=2
key=penury   value=1
key=huron   value=2
key=mackinaw,   value=1
key=to-morrow.   value=1
key=underwent   value=1
key=detroit.   value=1
key=shrubbery   value=1
key=cleveland,   value=1
key=clair   value=1
key=niagara;   value=1
key=cultivated.   value=1
key=picayune,   value=1
key=preserv'd_   value=1
key=amnesty   value=1
key=$20,000   value=3
key=petitions   value=1
key=thousands)   value=1
key=requisition   value=2
key=confab,   value=1
key=arrivals,   value=1
key=recommended   value=1
key=philo-african   value=1
key=co-equality   value=1
key=dubois,   value=1
key=methodist   value=2
