key=of   value=2526
key=concentrate   value=1
key={144}   value=1
key=established   value=1
key=matter,   value=6
key=convenient.   value=1
key=disaster,   value=1
key=64.--In   value=1
key=attempts,   value=1
key={145}   value=1
key=(when   value=1
key=3),   value=1
key=concentrating   value=1
key=substance   value=1
key=strongest   value=5
key=themselves,   value=6
key=fifth   value=4
key=considered.   value=3
key=Another   value=3
key=strength,   value=4
key=considered,   value=2
key=advances,   value=1
key=respect   value=3
key={146}   value=1
key=thoroughly,   value=1
key=authoritatively   value=1
key=others.   value=4
key=case:   value=1
key=65.   value=1
key={147}   value=1
key=Janowski-Lasker   value=1
key=1912.   value=1
key=Poland.   value=1
key=Salwe.)   value=1
key=first-class   value=1
key=excused   value=1
key={148}   value=1
key=returns   value=1
key=lead,   value=2
key=this:   value=1
key=66.   value=1
key={149}   value=1
key=2...R   value=1
key=preceding   value=1
key=came,   value=8
key={150}   value=1
key=part,   value=7
key=enormous,   value=1
key=pivot   value=1
key=purposely   value=1
key=situation).   value=1
key=plans   value=1
key=kind.   value=2
key=influence   value=4
key=illustrated   value=1
key=(page   value=1
key=exercised   value=2
key=created   value=6
key={151}   value=1
key=67.--In   value=1
key=Kupchick.   value=1
key=reasonable.   value=1
key=Janowski-Rubinstein   value=1
key=1914.   value=1
key=possibility   value=5
key={152}   value=1
key=condemn   value=2
key={153}   value=1
key=anything.   value=1
key=amounts   value=3
key=creates   value=1
key={154}   value=1
key=Perhaps   value=1
key=precautions   value=4
key=feels   value=2
key={155}   value=1
key=tried   value=15
key=were,   value=7
key=favour,   value=2
key={156}   value=1
key=more.   value=4
key=onwards   value=2
key=wandering   value=2
key=done.   value=2
key=principally   value=1
key=illustrations   value=1
key=foregoing   value=1
key={159}   value=1
key=(Match,   value=1
key=match   value=2
key=total   value=1
key=coupled   value=2
key=promising   value=2
key=success   value=3
key={160}   value=1
key=gambit,   value=1
key=scope   value=1
key=good,   value=6
key={161}   value=1
key=intention   value=1
key=exposes   value=1
key=follow,   value=1
key={162}   value=1
key=perhaps   value=12
key=saw   value=43
key=threatened.   value=1
key=well.   value=4
key=hope.   value=3
key={163}   value=1
key=well-played   value=1
key=isolation   value=2
key=gradually   value=6
key=concentrated.   value=1
key=Being   value=4
key=pursuance   value=1
key={164}   value=1
key=founded   value=2
key=Against   value=3
key={165}   value=1
key=seen,   value=3
key=defeated.   value=1
key=unsound   value=1
key=lasting   value=1
key=regret.   value=1
key={166}   value=1
key=curious   value=7
key=overlooked.   value=1
key=inevitable.   value=1
key=win);   value=1
key={167}   value=1
key={168}   value=1
key=comparative   value=1
key=ease,   value=2
key=downright   value=2
key=fortunately   value=1
key={169}   value=1
key=been:   value=1
key=sad   value=4
key=redeeming   value=1
key={170}   value=1
key=irregular   value=1
key=throw   value=2
key=played,   value=2
key=regular   value=3
key=proved.   value=1
key=Its   value=6
key=concealed   value=2
key={171}   value=1
key=castling,   value=1
key=wrong   value=17
key=closely   value=2
key=related   value=1
key=parts   value=5
key={172}   value=1
key=she   value=225
key=appears   value=3
key=preparatory   value=1
key={173}   value=1
key=secure.   value=1
key=Unfortunately   value=1
key=plan.   value=2
key=24...Kt   value=1
key={174}   value=1
key=resigned.   value=2
key=Petersburg,   value=5
key=_McCutcheon   value=1
key=Variation_.   value=1
key=Instead   value=2
key={175}   value=1
key=stronger.   value=1
key=broken-up   value=1
key={176}   value=1
key=Philadelphia.   value=1
key=unprotected   value=1
key=Castles   value=2
key=Secondly:   value=1
key=probabilities   value=1
key="tempi"   value=1
key=called,   value=5
key=evolve.   value=1
key=overlooking   value=5
key={177}   value=1
key=putting   value=7
key=Certainly   value=1
key={178}   value=1
key="holes"   value=1
key=getting   value=6
key=?   value=1
key=slow,   value=1
key={179}   value=1
key=quicker   value=1
key=combination,"   value=1
key=conducted   value=2
key={180}   value=1
key=vindicate   value=1
key=when,   value=6
key=28,   value=1
key=variations:   value=1
key=(of   value=1
key={181}   value=1
key=battle.   value=2
key=Queens,   value=2
key={182}   value=1
key=Theoretically   value=1
key=adopted   value=2
key={183}   value=1
key=weak,   value=6
key=Preparatory   value=2
key={184}   value=1
key=wrongly   value=1
key=claimed   value=1
key=judgment.   value=3
key=Niemzovitch   value=1
key={185}   value=1
key=withdrawing   value=2
key=19...Kt   value=2
key=neither   value=11
key=answers   value=9
key={186}   value=1
key=ambitious   value=1
key=17...Kt   value=1
key=weaker.   value=1
key=fear.   value=3
key=advantage),   value=1
key=lose.   value=2
key={187}   value=1
key=reason.   value=1
key=This,   value=1
key=flounders   value=1
key=here.   value=2
key=missing   value=1
key=accurately,   value=1
key={188}   value=1
key=excepting   value=1
key=made,   value=1
key=Regarding   value=1
key={189}   value=1
key=(Rice   value=1
key=Defence   value=1
key=Castling,   value=1
key={190}   value=1
key=somewhat,   value=1
key=certainly   value=6
key={191}   value=1
key=defended,   value=1
key=itself,   value=3
key=strategically   value=1
key=paralyses   value=1
key=dominates   value=1
key=quietly   value=3
key={192}   value=1
key=aside   value=5
key=considerations,   value=1
key=everything,   value=1
key=plunges   value=1
key={193}   value=1
key={194}   value=1
key=5),   value=1
key=late,   value=3
key={195}   value=1
key=turned.   value=3
key=upper   value=14
key={196}   value=1
key=easy.   value=5
key=opponent,   value=1
key=53.   value=2
key=54.   value=2
key=55.   value=2
key=57.   value=2
key=58.   value=2
key=60.   value=2
key=Chajes'   value=1
key=none.   value=2
key={197}   value=1
key=ignorance   value=2
key={198}   value=1
key=block   value=3
key={199}   value=1
key=weakened.   value=1
key=eliminate   value=1
key={200}   value=1
key=purposes,   value=1
key={201}   value=1
key=(Berlin   value=1
key=exert   value=1
key=have.   value=1
key=quite   value=9
key=feasible,   value=1
key={202}   value=1
key=gaining   value=1
key=extricated,   value=1
key=quick   value=6
key={203}   value=1
key=complicates   value=1
key=safe.   value=2
key=(best),   value=1
key=isolated.   value=1
key={204}   value=1
key=Mieses,   value=1
key=plan;   value=1
key=truth   value=4
key={205}   value=1
key={206}   value=1
key=correctly   value=1
key=strategy.   value=1
key=white   value=15
key=moment,   value=14
key=home.   value=4
key={207}   value=1
key=valid   value=1
key=pressure.   value=2
key={208}   value=1
key=gone.   value=2
key=prettiest   value=2
key={209}   value=1
key=invention   value=1
key={210}   value=1
key=defend.   value=1
key=chain-like,   value=1
key={211}   value=1
key=kind;   value=1
key=indeed,   value=11
key=confess   value=5
key=isolating   value=1
key={212}   value=1
key=disastrous,   value=1
key=sieze   value=1
key=having,   value=1
key={213}   value=1
key={214}   value=1
key=Practically   value=1
key=attempted   value=2
key=hurry   value=4
key=longer.   value=3
key={215}   value=1
key=aimed   value=1
key=elsewhere   value=1
key=merit   value=2
key={216}   value=1
key=cramped   value=1
key=accurately.   value=1
key=odd   value=2
key=true,   value=2
key={217}   value=1
key=Castle.   value=1
key=bunched   value=1
key=to.   value=3
key=favour.   value=2
key={218}   value=1
key=placed.   value=1
key={219}   value=1
key=desperate   value=3
key=interest,   value=2
key=Petroff   value=1
key={220}   value=1
key=61.   value=1
key={221}   value=1
key=discussed   value=4
key=Alechin   value=2
key=played.   value=1
key=Lasker,   value=1
key=opens   value=1
key=naturally   value=3
key={222}   value=1
key=problem   value=2
key=simplifies,   value=1
key=lighten   value=1
key=heavy   value=12
key={223}   value=1
key=tower   value=3
key=strength.   value=2
key={224}   value=1
key={225}   value=1
key=York,   value=4
key={226}   value=1
key=weakens   value=1
key={227}   value=1
key=hard.   value=1
key={228}   value=1
key=waits   value=1
key=intends   value=2
key=defend,   value=1
key=rather,   value=4
key={229}   value=1
key=developments.   value=1
key=difficulties.   value=1
key={230}   value=1
key=overlooks   value=1
key={231}   value=1
key=centres   value=1
key=Lopez   value=1
key={232}   value=1
key=Capablanca-Burn   value=1
key=San   value=4
key=197.)   value=1
key=pinned,   value=2
key=judgment,   value=2
key=disposition   value=1
key={233}   value=1
key=etc.,   value=1
key=_unpin_   value=1
key={234}   value=1
key=Preparing   value=1
key=cutting   value=2
key=Winter-Capablanca   value=1
key=violently   value=1
key=seemingly   value=3
key={235}   value=1
key=doubtful,   value=1
key=retake.   value=1
key={236}   value=1
key=counter-attack.   value=1
key={237}   value=1
key=event   value=2
key={238}   value=1
key=systems   value=2
key=Gambit.   value=2
key=Kostic,   value=1
key=defences,   value=1
key={239}   value=1
key={240}   value=1
key=analysed,   value=1
key=truly   value=1
key={241}   value=1
key=me.   value=29
key=1),   value=1
key=assures   value=1
key={242}   value=1
key=so.   value=2
key=compensates   value=1
key=pages   value=4
key=demonstrate   value=1
key=thus.   value=1
key=analysis,   value=1
key=begins,   value=1
key=shifted   value=2
key={243}   value=1
key=itself.   value=3
key=expects   value=1
key=disrupt   value=1
key=exercises   value=1
key=stand   value=13
key=death   value=3
key={244}   value=1
key=everywhere,   value=1
key=avert   value=1
key=expecting   value=3
key=finishing   value=2
key={245}   value=1
key=incurring   value=1
key=loss.   value=2
key={246}   value=1
key=Notes   value=1
key=[1]   value=1
key=section   value=1
key=20,   value=1
key=77.   value=1
key=[2]   value=1
key=See   value=12
key=[3]   value=1
key=[4]   value=1
key=Career,   value=1
key=(Game   value=1
key=No.   value=13
key=[5]   value=1
key=(p.   value=1
key=80.).   value=1
key=[6]   value=1
key=give,   value=1
key=borne   value=3
key=Master.   value=1
key=reached   value=22
key=[7]   value=1
key=establish   value=2
key=wedge   value=1
key=holes   value=1
key=forces,   value=2
key=[8]   value=1
key=Book,   value=1
key=1913,   value=1
key=Capablanca;   value=1
key=1911,   value=1
key=[9]   value=1
key=Russian   value=1
key=Levitzki,   value=1
key=Capablanca-Janowski   value=1
key=End   value=3
key=Gutenberg's   value=1
key=END   value=2
key=*****   value=4
key=named   value=3
key=33870.txt   value=1
key=33870.zip   value=1
key=formats   value=4
key=in:   value=3
key=http://www.gutenberg.org/3/3/8/7/33870/   value=1
key=Updated   value=2
key=replace   value=2
key=works   value=45
key=print   value=5
key=copyright   value=24
key=you!)   value=2
key=Special   value=2
key=forth   value=24
key=General   value=20
key=Terms   value=4
key=Use   value=4
key=apply   value=4
key=copying   value=7
key=concept   value=4
key=eBooks,   value=4
key=receive   value=10
key=permission.   value=2
key=complying   value=6
key=purpose   value=6
key=research.   value=2
key=printed   value=4
key=away--you   value=2
key=eBooks.   value=4
key=trademark   value=6
key=redistribution.   value=2
key=LICENSE   value=4
key=YOU   value=14
key=USE   value=2
key=mission   value=6
key=promoting   value=5
key=(or   value=7
key=reading   value=3
key=work,   value=16
key=read,   value=2
key=license   value=2
key=(trademark/copyright)   value=2
key=abide   value=4
key=cease   value=3
key=destroy   value=6
key=possession.   value=2
key=fee   value=16
key=paragraph   value=20
key=1.C   value=2
key=lot   value=6
key=agreement   value=16
key=1.E   value=2
key=Archive   value=26
key=("the   value=2
key=Foundation"   value=2
key=PGLAF),   value=2
key=compilation   value=2
key=States.   value=8
key=located   value=8
key=States,   value=4
key=claim   value=5
key=distributing,   value=2
key=performing,   value=6
key=sharing   value=2
key=work.   value=20
key=share   value=6
key=Copyright   value=2
key=countries   value=2
key=change.   value=2
key=country   value=16
key=displaying,   value=4
key=representations   value=2
key=removed   value=5
key=sentence,   value=3
key=links   value=6
key=to,   value=10
key=prominently   value=4
key=associated)   value=2
key=accessed,   value=2
key=viewed,   value=2
key=derived   value=3
key=(does   value=2
key=contain   value=4
key=distributed   value=6
key=providing   value=8
key=appearing   value=3
key=1.E.1   value=6
key=1.E.7   value=4
key=1.E.8   value=4
key=holder,   value=2
key=imposed   value=2
key=holder.   value=2
key=Gutenberg-tm.   value=2
key=copy,   value=8
key=convert   value=2
key=binary,   value=2
key=compressed,   value=2
key=proprietary   value=2
key=hypertext   value=2
key=Vanilla   value=4
key=version   value=2
key=web   value=6
key=must,   value=3
key=cost,   value=2
key=expense   value=2
key=user,   value=2
key=exporting   value=2
key=alternate   value=2
key=include   value=3
key=specified   value=4
key=royalty   value=2
key=20%   value=2
key=gross   value=2
key=profits   value=2
key=calculate   value=2
key=owner   value=8
key=royalties   value=3
key=Foundation.   value=2
key=Royalty   value=4
key=legally   value=2
key=tax   value=12
key=address   value=6
key=donations   value=22
key=money   value=16
key=e-mail)   value=2
key=receipt   value=4
key=possessed   value=5
key=discontinue   value=2
key=replacement   value=6
key=group   value=5
key=Michael   value=4
key=Hart,   value=3
key=Contact   value=2
key=employees   value=4
key=identify,   value=2
key=proofread   value=2
key=collection.   value=2
key=Despite   value=2
key=stored,   value=2
key=incomplete,   value=2
key=corrupt   value=3
key=data,   value=2
key=transcription   value=2
key=errors,   value=2
key=infringement,   value=2
key=defective   value=4
key=damaged   value=2
key=medium,   value=4
key=codes   value=2
key=LIMITED   value=7
key=WARRANTY,   value=2
key=DAMAGES   value=4
key=Replacement   value=2
key=Refund"   value=2
key=described   value=3
key=Foundation,   value=8
key=party   value=7
key=liability   value=2
key=costs   value=5
key=expenses,   value=4
key=legal   value=4
key=fees.   value=2
key=AGREE   value=4
key=FOR   value=6
key=NEGLIGENCE,   value=2
key=THOSE   value=2
key=PARAGRAPH   value=2
key=FOUNDATION,   value=2
key=TRADEMARK   value=2
key=ANY   value=6
key=DISTRIBUTOR   value=2
key=UNDER   value=2
key=AGREEMENT   value=2
key=NOT   value=4
key=ACTUAL,   value=2
key=DIRECT,   value=2
key=INDIRECT,   value=2
key=POSSIBILITY   value=2
key=DAMAGE.   value=2
key=RIGHT   value=2
key=REPLACEMENT   value=2
key=receiving   value=2
key=sending   value=2
key=explanation   value=3
key=elect   value=2
key=refund.   value=4
key=electronically,   value=2
key='AS-IS'   value=2
key=OTHER   value=4
key=KIND,   value=2
key=EXPRESS   value=2
key=INCLUDING   value=2
key=BUT   value=2
key=MERCHANTIBILITY   value=1
key=FITNESS   value=2
key=disclaimers   value=2
key=implied   value=2
key=exclusion   value=2
key=law   value=6
key=interpreted   value=2
key=permitted   value=4
key=provision   value=3
key=provisions.   value=2
key=INDEMNITY   value=2
key=indemnify   value=2
key=agent   value=3
key=production,   value=2
key=promotion   value=2
key=fees,   value=2
key=cause   value=5
key=alteration,   value=2
key=modification,   value=2
key=additions   value=2
key=deletions   value=2
key=Information   value=8
key=Mission   value=2
key=variety   value=2
key=computers   value=2
key=obsolete,   value=2
key=middle-aged   value=4
key=walks   value=3
key=life.   value=7
key=financial   value=2
key=need,   value=2
key=goals   value=2
key=generations   value=3
key=come.   value=5
key=2001,   value=2
key=permanent   value=2
key=help,   value=2
key=http://www.pglaf.org.   value=2
key=non   value=2
key=501(c)(3)   value=4
key=educational   value=2
key=corporation   value=2
key=organized   value=2
key=Mississippi   value=2
key=Revenue   value=2
key=EIN   value=2
key=federal   value=4
key=64-6221541.   value=2
key=http://pglaf.org/fundraising.   value=2
key=Contributions   value=2
key=state's   value=2
key=laws.   value=2
key=Melan   value=2
key=AK,   value=2
key=99712.,   value=2
key=scattered   value=5
key=809   value=2
key=North   value=2
key=West,   value=2
key=City,   value=3
key=(801)   value=2
key=596-1887,   value=2
key=email   value=4
key=business@pglaf.org.   value=2
key=Email   value=2
key=contact   value=6
key=Gregory   value=2
key=Newby   value=2
key=Chief   value=3
key=Executive   value=2
key=gbnewby@pglaf.org   value=2
key=Donations   value=4
key=depends   value=2
key=survive   value=2
key=machine   value=2
key=array   value=2
key=equipment   value=2
key=small   value=24
key=($1   value=2
key=$5,000)   value=2
key=maintaining   value=2
key=committed   value=3
key=charities   value=2
key=uniform   value=3
key=paperwork   value=2
key=requirements.   value=2
key=solicit   value=4
key=locations   value=2
key=compliance.   value=2
key=DONATIONS   value=2
key=determine   value=2
key=visit   value=5
key=contributions   value=2
key=requirements,   value=2
key=prohibition   value=2
key=accepting   value=2
key=unsolicited   value=2
key=donate.   value=2
key=accepted,   value=2
key=treatment   value=2
key=swamp   value=2
key=Web   value=6
key=current   value=3
key=methods   value=3
key=checks,   value=2
key=donate,   value=2
key=http://pglaf.org/donate   value=2
key=About   value=3
key=Professor   value=2
key=library   value=2
key=anyone.   value=2
key=loose   value=10
key=network   value=2
key=volunteer   value=2
key=editions,   value=2
key=confirmed   value=2
key=included.   value=2
key=necessarily   value=2
key=paper   value=10
key=facility:   value=2
key=Gutenberg-tm,   value=2
key=subscribe   value=2
key=Shakespeare's   value=6
key=Christmas   value=9
key=Quiller-Couch   value=3
key=www.gutenberg.org/license   value=2
key=stories   value=1
key=March   value=1
key=#54274]   value=1
key=SHAKESPEARE'S   value=6
key=CHRISTMAS   value=6
key=STORIES   value=2
key=SHE   value=4
key=_Frontispiece._   value=1
key=286_]   value=1
key="Q"   value=1
key=(A.T.   value=1
key=_WITH   value=1
key=ELDER   value=1
key=15,   value=1
key=PLACE   value=1
key=(_All   value=1
key=America   value=1
key=QUILLER-COUCH   value=1
key=CAPTAIN   value=2
key=115   value=1
key=FRENCHMAN'S   value=2
key=CREEK   value=2
key=157   value=1
key=MAN   value=2
key=CURTAIN   value=2
key=207   value=1
key=DOLLARS   value=2
key=243   value=1
key=291   value=1
key=ILLUSTRATIONS   value=1
key=WHIRLED   value=2
key=OKE   value=2
key=HIS   value=3
key=CHALK   value=2
key=WROTE   value=1
key=OFFICER   value=2
key=HAD   value=2
key=WHITE   value=2
key=SHEET   value=1
key="'TIS   value=2
key=TOO   value=2
key=LATE,   value=2
key=TRECARREL   value=2
key="IN   value=2
key=ALONG   value=2
key="_And   value=1
key=moreover,   value=3
key=Cheats,   value=1
key=Apes,   value=1
key=Knaves,   value=1
key=Rogues,   value=1
key=said,   value=14
key=Celestial   value=1
key=town,   value=6
key=lusty   value=4
key=kept;   value=1
key=Town,   value=2
key=World._"--BUNYAN.   value=1
key=theatre   value=7
key=Shoreditch,   value=2
key=1598,   value=1
key=Chamberlain's   value=2
key=presented   value=4
key=comedy.   value=1
key=Never   value=3
key=cheered   value=1
key=speech--good,   value=1
key=sure,   value=13
key=_dramatis   value=1
key=personو_--Prince   value=1
key=Hal   value=1
key=Falstaff,   value=1
key=Quickly--were   value=1
key=gallery   value=4
key=toiling   value=1
key=puzzled   value=7
key=grin.   value=4
key="Bravo,   value=1
key=left-hand   value=1
key=neighbour   value=1
key=red-faced   value=2
key=whose   value=7
key=bench   value=2
key=care,   value=2
key=author?   value=1
key=broke   value=25
key=round   value=39
key=applause.   value=1
key=repeated,   value=2
key=eye   value=10
key=brow.   value=2
key=shoot   value=1
key=friend:   value=1
key=grazes.   value=1
key=miss,   value=1
key=furtive   value=1
key=grin,   value=1
key=signs   value=2
key=bewilderment.   value=1
key=Until   value=3
key=mopping   value=1
key=despite   value=1
key=raw   value=1
key=delight   value=7
key=stepped   value=32
key=flung   value=24
key=arm   value=20
key=recited--   value=2
key=plot,   value=2
key=voice   value=36
key=drowned   value=3
key=thunder   value=4
key=gazed   value=7
key=amiable   value=2
key=come,   value=3
key=indifferent   value=1
key=warmer,   value=1
key=bellowing   value=1
key=laugh   value=9
key=Jove,   value=1
key=began   value=46
key=pit   value=3
key=lower   value=8
key=crane   value=1
key=necks   value=3
key=sight   value=26
key=fugleman;   value=1
key=playgoers   value=1
key=pitched   value=4
key=wag   value=1
key=jest.   value=2
key=leaning   value=7
key=tally-ho!   value=1
key=hat   value=10
key=hounds.   value=2
key=performance   value=2
key=(it   value=1
key=begun   value=4
key=dragged   value=7
key=Act   value=3
key=river-fog   value=1
key=settled   value=8
key=cough   value=2
key=lanterns.   value=1
key=lackeys   value=2
key=ran   value=37
key=balcony   value=3
key=stools,   value=1
key=Christian   value=3
key=names   value=3
key=pelting   value=1
key=nuts.   value=1
key=Still   value=8
key=fog   value=3
key=gathered,   value=1
key=criss-crossed   value=1
key=shafts,   value=1
key=haze,   value=1
key=figures   value=5
key=looming   value=2
key=muffled   value=1
key=remote.   value=1
key=apprentice,   value=3
key=cutpurse,   value=1
key=ears.   value=3
key=_Cantat   value=1
key=painted   value=3
key=Mayor's   value=2
key=Show,   value=1
key=issuing   value=1
key=mouths.   value=2
key=Henry's   value=1
key=Justice   value=3
key=unstopped   value=1
key=eagerly   value=1
key=friends   value=11
key=Pistol,   value=1
key=hurrying,   value=1
key=hot-foot,   value=1
key=sun   value=8
key=stamped   value=1
key=neighbours'   value=1
key=cold.   value=1
key=Eh?   value=3
key=matter?   value=3
key=rogues!   value=1
key=happening   value=3
key=Quickly   value=1
key=children:   value=1
key=meant   value=13
key=harm.   value=2
key=infecting   value=1
key=real.   value=1
key=Why   value=3
key=man   value=158
key=puppets   value=1
key=rending   value=1
key=them?   value=2
key=bled--not   value=1
key=cracked   value=2
key=nut   value=1
key=meditatively,   value=1
key=fugled;   value=1
key=wolf's,   value=1
key=silly   value=4
key=knave!"   value=1
key=apprentice.   value=2
key=tragedy?"   value=1
key=burst   value=4
key=laughing,   value=3
key=countryman.   value=3
key=master!   value=2
key=goose   value=1
key="Give   value=2
key=answered.   value=7
key=friend;   value=1
key=_his_   value=1
key=be"--with   value=1
key=stare   value=3
key=bid   value=2
key=good-night:   value=1
key=kneel   value=1
key=Play,   value=1
key=epilogue,   value=1
key=slipped   value=11
key=dissolved   value=1
key=crowd   value=9
key=brisk   value=2
key=nodding   value=2
key=handkerchief.   value=1
key=guess   value=10
key=discernment,"   value=1
key="He   value=21
key=merry   value=2
key=one."   value=4
key=young-old   value=1
key=silhouetted   value=1
key=curtain-rod   value=1
key=faintly   value=1
key=thank   value=15
key=discuss   value=4
key=epilogue:   value=1
key=gentleman   value=16
key=Warwickshire,   value=3
key=content   value=3
key=coat-of-arms,   value=1
key=College's   value=1
key=promise--which,   value=1
key=thing."   value=1
key=cheeks.   value=1
key=chuckled.   value=2
key=pockets._   value=1
key=How   value=11
key=it?   value=3
key=devil!"   value=1
key=countryman,   value=3
key=breek   value=1
key=spreading   value=2
key=empty   value=9
key="That   value=14
key=fellow,   value=5
key=detect,   value=1
key=unserviceably   value=1
key=sooner:   value=1
key='twould   value=8
key=liberty   value=3
key=you."   value=9
key="It   value=11
key=Christian's   value=1
key=la,   value=1
key=purse   value=3
key='prentice   value=1
key=seat.   value=1
key=beating   value=3
key=me,   value=72
key=husband   value=15
key=befalls   value=1
key=dog   value=3
key=alongside   value=4
key=shoe,   value=2
key=fingers   value=7
key=beneath   value=16
key=stocking,   value=1
key="If   value=23
key=Cheapside?"   value=1
key=up!   value=1
key=enlarge   value=1
key=sack,   value=2
key=sup   value=3
key=to-night,   value=7
key=Dutchman.   value=1
key=together,   value=5
key=gallant   value=2
key=town.   value=3
key=gods!   value=1
key=Lord,   value=5
key=rusts   value=1
key=rogue   value=2
key=hit   value=4
key=mark:   value=1
key=guessed   value=2
key=London;   value=1
key=boots   value=3
key=deepest   value=1
key=Midland   value=1
key=clay,   value=1
key=heard   value=56
key=her   value=331
key=bells   value=3
key=art   value=5
key=per   value=3
key=se_.'   value=1
key=Romam_--I   value=1
key=Virgil's.   value=1
key=capital   value=2
key=men."   value=1
key=cutpurses?"   value=1
key="Good   value=6
key=rough   value=6
key=assented,   value=1
key="'Tis   value=18
key=friend,   value=13
key=London,   value=5
key=acquaintance.   value=1
key=father,   value=3
key=lad,--for   value=1
key=you,--I   value=1
key=Bankside,   value=5
key=example?"   value=1
key=Bankside--hem!--and   value=1
key=scoffed   value=2
key=quarter   value=5
key=daylight,   value=4
key=wondering   value=7
key=histories   value=1
key=house-fronts.   value=1
key="As   value=6
key=said;   value=5
key=evil;   value=1
key=haled   value=1
key=him."   value=10
key=now--or   value=1
key=hearing   value=7
key=trick--that   value=1
key=_you_   value=4
key='Evil   value=1
key=She   value=83
key=chin,   value=1
key=chins!"   value=1
key="Years,   value=1
key=grandmother   value=1
key=dotes   value=1
key=morals.   value=1
key=Bankside----"   value=1
key=hesitated   value=1
key="Lads   value=1
key=days.   value=1
key=shot,   value=3
key=College   value=6
key=Wharf   value=2
key=handy   value=2
key=ferry   value=5
key=Bankside:   value=1
key=Heralds   value=1
key=pawning   value=1
key=raise   value=4
key=wind,   value=2
key=warning."   value=1
key=seeking   value=7
key=speak   value=10
key=play--the   value=1
key=world?"   value=1
key=glistened   value=1
key=turn:   value=1
key=shine   value=3
key=Warwickshire:   value=2
key=lad   value=3
key=hen   value=1
key=woman   value=27
key=hatched   value=1
key=slapped   value=2
key=sworn   value=1
key="Nay,   value=6
key=master,   value=4
key=I--on   value=1
key=instant   value=15
key=clapped   value=8
key=somehow   value=4
key=world   value=10
key=somedel   value=1
key=see."   value=1
key=man's   value=23
key=ken   value=1
key=eyes.   value=14
key=master,"--the   value=1
key=stretched   value=9
key=hand,--"I   value=1
key=me----"   value=5
key=bored   value=1
key=less,   value=2
key=wit   value=2
key=bargained   value=3
key=crowbars,   value=1
key="Sure,"   value=1
key=musing,   value=1
key="they   value=4
key=don't   value=59
key=they?   value=1
key=players?"   value=2
key=effort.   value=2
key=lad,"   value=2
key=answered,   value=9
key=remember,   value=3
key=risk:   value=1
key=both.   value=2
key=away;   value=1
key='twas   value=24
key=sudden,   value=1
key=no,   value=5
key=persuaded   value=2
key=yawn:   value=1
key=handsomely:   value=1
key=though,   value=2
key=midriff   value=1
key=sighed.   value=2
key=below?"   value=1
key=workmen!"   value=1
key=stage-army,   value=1
key=play--not   value=1
key=seeing.   value=1
key=Phoenix_.   value=1
key=seated,   value=1
key=plot:   value=1
key=hammering   value=2
key=deafens   value=1
key=Burbages,   value=2
key=know----"   value=1
key=father.   value=2
key=company   value=16
key=loved   value=8
key=dignified   value=1
key=alderman.   value=1
key=died--let   value=1
key=patch   value=5
key=son   value=15
key=sententious   value=1
key=gravity   value=1
key=Richard   value=5
key=Burbages.   value=1
key=Well,   value=26
key=James   value=21
key=dead,   value=3
key=suddenly,   value=2
key=(as   value=7
key=February,   value=1
key=suing   value=1
key=landlord,   value=4
key=dad's   value=1
key=turn.   value=3
key="Very   value=5
key=willing   value=4
key=renew   value=1
key=rent.   value=1
key=playhouse   value=1
key=fancy   value=3
key=men   value=61
key=enjoy   value=1
key=Jerusalem   value=1
key=suburb,--from   value=1
key=north   value=5
key=Bishopsgate   value=1
key=south   value=5
key=who--to   value=1
key=cap   value=1
key=Nevertheless,   value=2
key=patched   value=4
key=truce   value=1
key=raising   value=4
key=little,   value=1
key=stretch   value=2
key=to-morrow   value=5
key=quit.   value=2
key=yielded   value=2
key=Clink   value=2
key=church,   value=5
key=smack   value=1
key=Puritan   value=1
key=slush   value=2
key=wagons;   value=1
key=dozen   value=15
key=Muses   value=1
key=midnight.   value=2
key=vehicle   value=2
key=stout   value=7
key=rascals   value=1
key=lifting   value=10
key=proscenium----"   value=1
key=smote   value=3
key=head,   value=14
key=lungs   value=3
key=shout   value=4
key=laughter.   value=3
key="But,   value=6
key=master----"   value=1
key=rib....   value=1
key=s-sol-ol-ol-emn   value=1
key=face.   value=7
key=_don't_!"   value=1
key="what   value=2
key=Lady,   value=1
key=feet;   value=2
key=creases   value=1
key=towered   value=1
key=distended   value=1
key=nipcheese   value=1
key=tarry   value=1
key=thigh   value=1
key=gallery-rail.   value=1
key="Have   value=2
key=master:   value=2
key=rail----"   value=1
key=hammer!   value=1
key=Below   value=1
key=over,   value=9
key=workmen   value=2
key=foggy   value=4
key=ghostly   value=1
key=faces   value=9
key=haze.   value=1
key=dangled   value=2
key=void.   value=1
key=Twelve,   value=1
key=fifteen   value=2
key=projected   value=2
key=tiers   value=1
key=Plumb   value=1
key=crash   value=3
key=arrival   value=1
key=craning   value=1
key=feet,   value=6
key=rail,   value=1
key=vanish.   value=1
key=instant's   value=1
key=thud,   value=1
key=cry   value=12
key=area.   value=2
key=leapt   value=6
key=steps   value=7
key=forty   value=6
key=seconds   value=2
key=whirl   value=2
key=voices,   value=2
key=stood   value=61
key=hammer,   value=2
key=Thor!   value=1
key=sober-looking   value=1
key=plum-coloured   value=2
key="By   value=4
key=Sir!"   value=4
key="With   value=5
key=quiet   value=6
key=hammer.   value=1
key=knees   value=7
key=stripped.   value=1
key=grasped   value=3
